SeverityLabel,ProductName,Description,ResourceTypes,ResourceIds
INFORMATIONAL,aws/securityhub,This AWS control checks whether AWS CloudTrail trails are configured to send logs to Amazon CloudWatch Logs.,AwsCloudTrailTrail,arn:aws:cloudtrail:us-east-1:997075698610:trail/cloudtrail-write-demo
MEDIUM,aws/securityhub,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure passwords are at least a given length. It is recommended that the password policy require a minimum password length 14.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether users of your AWS account require a multi-factor authentication (MFA) device to sign in with root user credentials.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether CloudTrail log file validation is enabled.,AwsCloudTrailTrail,arn:aws:cloudtrail:us-east-1:997075698610:trail/cloudtrail-write-demo
INFORMATIONAL,aws/securityhub,This AWS control checks whether the root user access key is available.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-y1bu7gg9eaxy
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-6p9n9v402es9
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-18pp9lx8efvny
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-10a0qiydy7qnz
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::brightkey-cloudtrail-write-demo
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::brightkey-test-public-bucket
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-xw3z80elu7la
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::aws-athena-query-results-997075698610-us-east-1
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-1arnbyhkmb5m7
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-12sxau8zdewb
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-usqn2lj0eqr0
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::cf-templates-mdos4lpfty0-us-east-1
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::elasticbeanstalk-us-east-1-997075698610
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-1oy4gouuiur2i
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::config-bucket-997075698610
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::elasticbeanstalk-us-east-1-997075698610
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-1arnbyhkmb5m7
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-10a0qiydy7qnz
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-usqn2lj0eqr0
CRITICAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::brightkey-test-public-bucket
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-y1bu7gg9eaxy
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-1oy4gouuiur2i
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::config-bucket-997075698610
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::cf-templates-mdos4lpfty0-us-east-1
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-configs3bucket-6p9n9v402es9
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-12sxau8zdewb
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prere-rarchivelogsbucket-18pp9lx8efvny
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::compliance-cis-benchmark-prerequis-ctrails3bucket-xw3z80elu7la
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::aws-athena-query-results-997075698610-us-east-1
INFORMATIONAL,aws/securityhub,"This AWS control checks whether your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access control list (ACL).",AwsS3Bucket,arn:aws:s3:::brightkey-cloudtrail-write-demo
LOW,aws/securityhub,IAM password policies can prevent the reuse of a given password by the same user. It is recommended that the password policy prevent the reuse of passwords.,AwsAccount,AWS::::Account:997075698610
MEDIUM,aws/securityhub,This AWS control checks whether AWS CloudTrail is configured to use the server side encryption (SSE) AWS Key Management Service (AWS KMS) customer master key (CMK) encryption. The check will pass if the KmsKeyId is defined.,AwsCloudTrailTrail,arn:aws:cloudtrail:us-east-1:997075698610:trail/cloudtrail-write-demo
INFORMATIONAL,aws/securityhub,This AWS control checks that there is at least one multi-region AWS CloudTrail trail includes read and write management events.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks that key rotation is enabled for each AWS KMS key. It does not check KMS keys that have imported key material.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a secret stored in AWS Secrets Manager is configured to rotate automatically.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether root access is turned off for Amazon SageMaker notebook instances. The control fails if root access is turned on for a SageMaker notebook instance.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if an Amazon SageMaker notebook instance is launched within a custom VPC. The control fails if a SageMaker notebook instance is not launched within a custom VPC.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether direct internet access is disabled for an Amazon SageMaker notebook instance by examining the DirectInternetAccess field is disabled for an Amazon SageMaker notebook instance.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether the compliance status of the Amazon EC2 Systems Manager patch compliance is COMPLIANT or NON_COMPLIANT after the patch installation on the instance. It only checks instances that are managed by AWS Systems Manager Patch Manager.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon SQS queues are encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Redshift cluster has changed the database name from its default value. This control will fail if the database name for a Redshift cluster is set to “dev”,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Redshift cluster has changed the Admin username from its default value. This control will fail if the admin username for a Redshift cluster is set to 'awsuser'.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Redshift cluster has EnhancedVpcRouting enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Amazon RDS DB clusters are configured with multiple Availability Zones.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon Redshift cluster is configured with automatic upgrades to major versions.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon Redshift cluster has audit logging enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon Redshift clusters have automated snapshots enabled. It also checks whether the snapshot retention period is greater than or equal to 7.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Amazon Aurora clusters have backtracking enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if an Amazon Redshift cluster is encrypted at rest. The control fails if a Redshift cluster isn't encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon Redshift clusters are publicly accessible. It evaluates the publiclyAccessible field in the cluster configuration item.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether RDS clusters have deletion protection enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if an RDS DB cluster has IAM database authentication enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if an RDS DB cluster is encrypted at rest. The control fails if an RDS DB cluster isn't encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an RDS database cluster has changed the admin username from its default value. This rule will fail if the admin username is set to the default value.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether connections to OpenSearch domains are required to use TLS 1.2. The check fails if the OpenSearch domain TLSSecurityPolicy is not Policy-Min-TLS-1-2-2019-07.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether an Amazon RDS Event subscription for RDS security groups is configured to notify on event categories of both ""configuration change"" and ""failure"".",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether an Amazon RDS Event subscription for RDS parameter groups is configured to notify on event category of ""configuration change"".",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether an Amazon RDS Event subscription for RDS instances is configured to notify on event categories of both ""maintenance"", ""configuration change"", and ""failure"".",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon OpenSearch domains have fine-grained access control enabled. This control fails if the fine-grained access control is not enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether an Amazon RDS Event subscription for RDS clusters is configured to notify on event categories of both ""maintenance"" and ""failure"".",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether Amazon OpenSearch Service domains are configured with at least three data nodes and ""zoneAwarenessEnabled"" is true.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether RDS DB clusters are configured to copy all tags to snapshots when the snapshots are created.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon OpenSearch Service domains have audit logging enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon OpenSearch domains are configured to send error logs to CloudWatch Logs. This control fails if error logging to CloudWatch is not enabled for a domain.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon OpenSearch domains have node-to-node encryption enabled. This control fails if node-to-node encryption is disabled on the domain.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks Amazon OpenSearch Service domains are in an Amazon Virtual Private Cloud (VPC).,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon OpenSearch domains have encryption-at-rest configuration enabled. The check fails if encryption at rest is not enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if a Stateless Network Firewall Rule Group contains rules. The rule will fail if there are no rules in a Stateless Network Firewall Rule Group.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether a Network Firewall policy has drop or forward as the default stateless action for fragmented packets. The control passes if Drop or Forward is selected, and fails if Pass is selected.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether the default stateless action for full packets for a Network Firewall policy is drop or forward. The control passes if Drop or Forward is selected, and fails if Pass is selected.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Network Firewall policy has any stateful or stateless rule groups associated. This control fails if stateless or stateful rule groups are not assigned.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if a Neptune DB cluster is configured to copy tags to snapshots when the snapshots are created. The control fails if a Neptune DB cluster isn't configured to copy tags to snapshots.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if a Neptune DB cluster has IAM database authentication enabled. The control fails if IAM database authentication isn't enabled for a Neptune DB cluster.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Neptune DB cluster snapshot is encrypted at rest. The control fails if a Neptune DB cluster isn't encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether a Neptune DB cluster has automated backups enabled, and a backup retention period greater than or equal to 7 days. The control fails if backups aren't enabled for the Neptune DB cluster, or if the retention period is less than 7 days.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if a Neptune DB cluster has deletion protection enabled. The control fails if a Neptune DB cluster doesn't have deletion protection enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Neptune manual DB cluster snapshot is public. The control fails if a Neptune manual DB cluster snapshot is public.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Neptune DB cluster publishes audit logs to Amazon CloudWatch Logs. The control fails if a Neptune DB cluster doesn't publish audit logs to CloudWatch Logs. `EnableCloudWatchLogsExport` should be set to Audit.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a Neptune DB cluster is encrypted at rest. The control fails if a Neptune DB cluster isn't encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Lambda has more than one Availability Zone (AZ) associated. The rule fails if only one AZ is associated with Lambda.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Kinesis streams are encrypted at rest with server-side encryption. This control fails if a Kinesis stream is not encrypted at rest with server-side encryption.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an AWS Elastic Beanstalk environment is configured to send logs to CloudWatch Logs. The control fails if the Elastic Beanstalk environment is not configured to send logs to CloudWatch Logs.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether managed platform updates are enabled for the AWS Elastic Beanstalk environment.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether enhanced health reporting is enabled for your AWS Elastic Beanstalk environments.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether connections to Elasticsearch domains are required to use TLS 1.2.  The check fails if the Elasticsearch domain TLSSecurityPolicy is not Policy-Min-TLS-1-2-2019-07.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Elasticsearch domains are configured with at least three dedicated master nodes. This control fails if dedicatedMasterEnabled is not true.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Elasticsearch domains are configured with at least three data nodes and zoneAwarenessEnabled is true.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Elasticsearch domains have audit logging enabled. This control fails if an Elasticsearch domain does not have audit logging enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a DAX cluster is encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether point-in-time recovery (PITR) is enabled for a DynamoDB table.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a DynamoDB table can scale its read or write capacity as needed. This control passes if the table uses an on-demand capacity mode or if the table uses provisioned mode with automatic scaling configured.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon DocumentDB cluster has a minimum backup retention period greater than or equal to 7 days. The control fails if the backup retention period is less than 7 days.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon DocumentDB cluster is encrypted at rest. The control fails if an Amazon DocumentDB cluster isn't encrypted at rest.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether AWS Database Migration Service replication instances are public by examining the PubliclyAccessible field value.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if an AWS CodeBuild project environment has privileged mode enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether a CodeBuild project environment has at least one log option enabled.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Amazon S3 logs for an AWS CodeBuild project are encrypted. The control fails if encryption is deactivated for S3 Logs for a CodeBuild project.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether the project contains environment variables AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether the GitHub or Bitbucket source repository URL contains either personal access tokens or user name and password.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if CloudFront distributions are encrypting traffic to custom origins. This control fails if ‘OriginProtocolPolicy’ is ‘http-only’ or if ‘OriginProtocolPolicy’ is ‘match-viewer’ and ‘ViewerProtocolPolicy’ is ‘allow-all’.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if Amazon CloudFront distributions are using a custom SSL/TLS certificate and are configured to use SNI to serve HTTPS requests as opposed to dedicated IP address.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks if CloudFront distributions are using the default SSL/TLS certificate CloudFront provides instead of a custom one. This control fails for a CloudFront distribution if it uses the default SSL/TLS certificate.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks to see if Amazon CloudFront distributions are associated with either WAF or WAFv2 web ACLs. The control fails if a CloudFront distribution is not associated with a web ACL.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks to see if server access logging is enabled on Amazon CloudFront Distributions. The control will fail if access logging is not enabled for the distribution.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon CloudFront distribution is configured with an origin group that has 2 or more origins.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,"This control checks whether an Amazon CloudFront distribution requires viewers to use HTTPS directly, or whether it uses redirection. The control fails if ViewerProtocolPolicy is set to allow-all for defaultCacheBehavior or for cacheBehaviors.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether an Amazon CloudFront distribution with an Amazon S3 origin has origin access control (OAC) configured. The control fails if OAC isn't configured.,AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This control checks whether Amazon CloudFront distributions are pointing to non-existent S3 origins. The control fails for a CloudFront distribution if the origin is configured to point to a non-existent bucket. This control only applies to CloudFront distributions where an S3 bucket without static website hosting is the S3 origin.,AwsAccount,AWS::::Account:997075698610
